account_id,account_name,region,pub_time,ip_address,type,machine,behavior_type,behavior_period_time,behavior_log,money_size,sign_up_time,label
ACC_00001,陈建国,西安,2026-06-01T10:15:00+08:00,61.185.220.33,login,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,normal_login,12,陈建国使用公司手机iPhone 15 Pro Max登录企业微信,0,2025-06-20,1
ACC_00001,陈建国,西安,2026-06-01T10:30:00+08:00,61.185.220.33,browse,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,workflow_approve,120,查看并审批3份部门采购申请单,0,2025-06-20,1
ACC_00001,陈建国,西安,2026-06-01T14:20:00+08:00,61.185.220.33,transaction,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,business_reimbursement,45,提交商务宴请报销申请，金额1280元,1280,2025-06-20,1
ACC_00001,陈建国,西安,2026-06-02T09:05:00+08:00,61.185.220.33,login,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,normal_login,8,使用公司内网VPN登录OA系统,0,2025-06-20,1
ACC_00001,陈建国,西安,2026-06-02T11:00:00+08:00,61.185.220.33,comment,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,project_review,300,在项目评审文档中回复技术团队关于Q2进度的问题,0,2025-06-20,1
ACC_00001,陈建国,西安,2026-06-02T15:30:00+08:00,61.185.220.33,browse,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,data_analysis,600,查看上月部门KPI完成情况报表,0,2025-06-20,1
ACC_00001,陈建国,西安,2026-06-03T10:10:00+08:00,61.185.220.33,transaction,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,family_expense,60,使用个人华为手机支付家庭水电燃气费，金额860元,860,2025-06-20,1
ACC_00001,陈建国,西安,2026-06-03T14:50:00+08:00,61.185.220.33,browse,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,company_news,180,浏览公司内网最新公告，关注年中总结会议通知,0,2025-06-20,1
ACC_00001,陈建国,西安,2026-06-04T09:30:00+08:00,61.185.220.33,login,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,normal_login,10,使用公司手机人脸识别登录考勤系统,0,2025-06-20,1
ACC_00001,陈建国,西安,2026-06-04T11:20:00+08:00,61.185.220.33,transaction,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,business_travel,90,预订下周三出差前往上海的机票和酒店，合计2560元,2560,2025-06-20,1
ACC_00001,陈建国,西安,2026-06-05T10:00:00+08:00,61.185.220.33,search,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,document_search,45,在内网搜索关于新项目立项的标准模板,0,2025-06-20,1
ACC_00001,陈建国,西安,2026-06-05T16:10:00+08:00,61.185.220.33,comment,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,team_discussion,240,在部门群里回复下属关于客户需求变更的讨论,0,2025-06-20,1
ACC_00001,陈建国,西安,2026-06-08T10:30:00+08:00,61.185.220.33,login,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,normal_login,11,周一早上使用公司手机登录企业邮箱,0,2025-06-20,1
ACC_00001,陈建国,西安,2026-06-08T14:00:00+08:00,61.185.220.33,browse,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,financial_report,900,详细审阅财务部发送的上季度部门预算执行分析,0,2025-06-20,1
ACC_00001,陈建国,西安,2026-06-09T11:45:00+08:00,61.185.220.33,transaction,公司手机：iPhone 15 Pro Max（设备指纹：AP-6B8F2D1E-2025）；个人手机：华为 Mate 70 Pro（设备指纹：HM-9C3A7E4D-2025）,business_entertainment,30,支付中午商务午餐费用，接待重要客户，金额680元,680,2025-06-20,1
